(Cdad. Mtar.),(CAD. MTAR.)
Himalaya,Гималаи
Hindostán,Хидостан
Hindu-Kish,Индуистская
Hindu-Koh,Индуистский
Hindu-Kuch,Индус
Hipólita,ГИПОЛИИТА.
Hipólito,Hipolito.
Hiroshima,Хиросима
Hirosima,Хиросима
Hnas.,HNAS
Hnos.,Hnos.
Ho Chi Minh,Хо Ши Минх
Holanda,Голландия
Hondo,Глубокий
Honduras,Гондурас
Honesto,Честный
Hong-Kong,Гонконг.
Honolulú,Гонолулу.
Honorata,Честь
Honorato,Гоноо.
Honorina,Честь
Honorio,Почетное
Horacio,Горасио.
Hortensia,Гортензия
Hto,HTO.
Hto.,HTO
Huberto,Губерто
Huelva,Уэльва.
Huesca,Huesca.
Hugo,Hugo.
Humberto,Humberto.
Humildad,Скромность
Humiliada,Униженный
Hungría,Венгрия
Huáscar,Huáscar.
Hz,Гц.
Hébridas,Гебриды
Héctor,Гектор
I,я
IC,IC.
ICAIC,ICAIC
ICAP,Icap.
ICE,Лед.
ICH,Ich.
ICIDCA,ICIDCA.
ICL,Icl.
ICONA,Икона
ICP,Icp.
ICRT,Icrt.
IDICT,Идикт.
IEE,IEE.
IG,Yg.
IGE,Ige.
III,III.
IIT,Yit.
ILO,МОТ.
ILV,Ilv.
IMC,Мнение
IMCE,Предчувствие
IMPI,Импси
INBA,Inba
INCA,Inca.
INDEM,В мнениях
INDER,Утром.
INI,Ini.
ININTEF,Интектор.
INLE,Укрывать
INP,Inp.
IPN,Добыча
IPSJAE,IPSJAE.
IPUEC,IPUEC.
IRA,СОБИРАЮСЬ
IS,ЯВЛЯЕТСЯ.
ISA,ЭТО.
ISCF,ISCF.
ISSSTE,Isssste.
IU,.
IVA,НДС.
IVM,Имп.
Ibérica,Иберий
Ida,Идущий
Ignacio,Игнасио.
Ildefonso,ИльДефонсо.
Iluminada,Освещенный
Iluminado,Освещенный
Inc.,Представлять
Indalecio,Индуалек.
India,Индия
Indiana,Индиана
Indias,Indies.
Indo,Индо
Indochina,Индокитай
Indonesia,Индонезия
Indostán,Индивидуальный
Indu-Koh,Indu-koh
Inf,Инфляция
Inglaterra,Англия
Ingusia,Ингусия.
Inmaculada,Безупречный
Inocencio,Невиновный
Inocente,Невиновный
Inés,Agnes.
Ion,Ион
Iracema,Иракума.
Irak,Ирак
Irasema,Ирасма.
Irene,Ирэн.
Irkutsk,Иркутск.
Irlanda,Ирландия
Irma,Ирма.
Irtich,Иртич.
Irtish,Иртиш.
Irán,Иран
Isa,ЭТО.
Isaac,Исаак
Isabel,Изабель
Isabela,Изабелла
Isaías,Исаия
Isidora,Исидора.
Isidoro,Исидоро.
Isidro,Isidro
Isik-Kul,Исик-Кул
Islamabad,Исламабад.
Islandia,Исландия
Ismael,Ismael.
Isolda,Изольда.
Israel,Израиль
Issyk-Kul,Иссык-Кул
Italia,Италия
Ivon,ИВОН.
Ivonne,Ивонн.
Ivés,Ивес.
Izevsk,Изевск.
Izhevsk,Ижевск.
Izq.,Язвитель
J,Дж
J'...,J '...
J. E. N.,Дж. Е. Н.
J.S.,J.s.
JC,Jc.
JE,Je.
JGRN,Jgrn.
JID,Jid.
JJ,Jj.
JJ. SS.,Jj. H.h.h.
JO,Джо.
JP,Вспомогательный
JR,Младший
JUCEPLAN,Juceplan.
JUCO,Jucoe.
Jabarovsk,Джабаровск.
Jacaranda,Jacaranda
Jacinta,Jacinta.
Jacinto,Гиацинт
Jacob,Jacob.
Jaime,Джеймс
Jakarta,Джакарта
Jamaica,Ямайка
Janeiro,Джанейро.
Japón,Япония
Jarkof,Харкоф
Jarkov,Харьков.
Jauja,Jauja.
Java,Джава
Javier,Джавьера
Jaén,Jaén.
Jecho,Hiecho.
Jenaro,Дженаро.
Jenofonte,Джинофон
Jeorges,Jeorges.
Jeremías,Jeremiah
Jerusalén,Иерусалим
Jerónimo,Jerónimo.
Jesusa,Исуса
Jesús,Иисус
Jgo.,Jgo.
Jibuti,Jibouti.
Joaquina,Джоакина.
Joaquín,Joaquin.
Job,Работа
Jordania,Иордания
Jordán,Иордания
Jorge,Хотья
Jorgina,Йоргина.
Josefa,Йозефа.
Josefina,Йозефина.
Josué,Жоз
José,Джозеф
José María,Хосе Мария
Jr.,Младший
Juan,Господин
Juan Bimbas,Хуан Бимбас
Juan Lanas,Хуан Ланас
Juan Vainas,Хуан Пода
Juan de Dios,Хуан де Диос.
Juan de buen alma,Хуан де Бун душа
Juana,Хуана.
Judas,Иуда
Julia,Юля
Juliana,Юлиана
Juliano,Джулиан
Julieta,Julieta.
Julio,Июль
Julián,Джулиан
Justa,Справедливо
Justina,Джастина
Justino,Джастин
Justo,Только что
Jónicas,Джоники.
Jónico,Иониц
Júpiter,Юпитер
K,K
KPH,Kph.
Kabardia,Кабардия
Kabardia-Balkaria,Кабардия-Балкария.
Kabul,Кабул
Kalimantan,Калимантан
Kalpakia,Калпакия
Kama,Кама
Kamcbatski,Kamcbatski
Kamchatka,Камчатка.
Kampala,Кампала
Kara,Кара.
Kara-Kalpakia,Кара-Калпайка.
Kara-Kumi,Кара-Куми.
Kasakistán,Касакистан
Kasakstán,Касакстан
Katar,Катар
Katmandú,Катманду
Kazajia,Казахский
Kazakia,Казакия.
Kazakistán,Казакистан
Kazakstán,Казахстан
Kazan,Казань.
Kenia,Кения
Kerch,Керч
Khartum,Хартум
Khoto,Хото.
Kiev,Киев.
Kigali,Кигали.
Kilimandjaro,Килиманджаро.
Kilimanjaro,Килиманджаро
Kilimanyaro,Килиманьяро
Kingston,Кингстон.
Kinshasa,Киншаса.
Kioto,Киото.
Kirghises,Киргизы
Kirguises,Кыргыз
Kirguizia,Кыргыз
Kishinev,Кишинев.
Kizilkum,Кизилкум
Kola,Кола
Komi,Komi.
Komis,Комис
Konakry,Конакри.
Koran,Коран
Koveit,Koveit.
Koweit,Koweit.
Kuala,Куала
Kuala Lumpur,Куала Лумпур
Kuriles,Курилс
Kuwait,Кувейт
Kuweit,Кувайт
Kárpatos,Карпатос.
L,Л
L.,Летание
LC,Лек
LD,Вспомогательный
LF,Левый
LLn,Вспомогательный
LN,Вспомогательный
LO,ЭТО
LPV,НПВ.
LQQD,LQD.
LS,Набрасывание
LV,Леготь
Ladislao,Ладислао.
Ladoga,Леди
Lafcadio,Лафкуйон.
Lag.a,Лаг.
Lagos,Озера
Lalo,Лало.
Lamberto,Ламберто.
Lanas,Шерсть
Lancha,Лодка
Laos,Лаос
Laptev,Лаптев.
Largo,Длинный
Latina,Латина
Latinoamérica,Латинская Америка
Laura,Лаура
Laura María,Лора Мария
Laureano,Лауреано.
Laurencia,Лоренсия
Laurencio,Laurencio
Lautaro,Lautaro.
Lda,ЛДА
Ldo.,Я делаю
Lea,Вспомогательный
Leandro,Лэндро
Leipzig,Лейпциг.
Lejano,Далеко
Lejano Oriente,Дальний Восток
Leman,Леман.
Lempira,Лемпира
Lena,Дрова
Lencho,Linko.
Leningrado,Ленинград
Leo,Лео.
Leocadia,Лекадия
Leocadio,LeoCadio.
Leona,Львица
Leonardo,Леонардо.
Leoncio,Leoncio
Leonel,Леонель.
Leonila,Ленила
Leonilo,Леонил
Leonor,Леонор.
Leonora,Леонора.
Leontina,Леонтина.
Leopoldo,Леопольдо.
Lepe,Леп
Lesoto,Лесото
Leticia,Leticia.
Letonia,Латвия
León,Лев
Leónidas,Ленидас
Leónides,Leónides.
Lga.,LGA.
Liana,Лиана
Liberata,Свобода
Liberato,Либерато.
Liberia,Либерия
Libertad,Свобода
Libia,Ливия
Librada,Освободиться
Librado,Освобождение
Libreville,Либревиль
Lic.,Навес
Licha,Лича
Licia,Lycia.
Licio,Licio.
Lidia,Лидия
Liechtenstein,Лихтенштейн.
Liguria,ЛИГУРИЯ
Lilia,Лилия.
Liliana,Лилиана
Lilongwe,Лилонгве.
Lima,Лайм
Lina,Лина
Linda,Красивый
Lino,Белье
Lisboa,Лиссабон
Lita,Лита
Lituania,Литва
Ll,Познавать
Lobo,Волк
Locha,Голец
Logroño,Логроньо.
Loira,Leaire.
Lola,Лола
Lomé,ЛОМЕ.
Londres,Лондон
Long.,Длинный.
Lope,Стержень
Lorena,Лорена
Lorenza,Лоренза.
Lorenzo,Лоуренс
Los,То
Los Ángeles,Ангелы
Lourdes,Лурд.
Ltda.,LTDA.
Luanda,Луанда.
Lucas,Упрямый
Lucelia,Лучелия.
Lucero,яркая звезда
Lucha,Борьба
Lucho,Дрался
Luciana,Лучана
Luciano,Лучано
Lucila,Люцила
Lucio,Щука
Lucrecia,Lucrecia.
Lucrecio,Lucrecius.
Lucía,Люси
Lugo,Луго.
Luis,Луис
Luisa,Луиза
Luminosa,Светящийся
Lumpur,Лумпур
Lupe,LUPE.
Lupita,Lupita
Lupo,Лупо.
Luqui,Luqui.
Lusaka,Лусака
Luxemburgo,Люксембург
Luz,Светлый
Lvov,Львов.
Lwow,Левущий
Lázaro,Лазарь
Lérida,Лерида.
Lía,ЛИА
Líbano,Ливан
López,Лопес.
M,М
M(de)G,М (де) г
M.,М.
M. A. G.,М. А. Г.
M. I. Sr.,Мой р.
M/Cte,M / CTE.
M/N,M / N.
M/V,M / V.
MAPU(-OC),MAPU (-OC)
MC,MC.
MCC,MCC.
MCCA,MCCA.
MCE,Мак
MD,Домик
MEP,Мэп
MGR,MGR.
MI,МЕНЯ
MICOM,Миком.
MINAGRI,Mineagri.
MINAL,Минал
MINAZ,МИНАЗ.
MINCEX,Mincex.
MINCIN,Минцин
MINCOM,Mincom.
MINED,Добывается.
MINFAR,Минфарель
MININT,Мин.
MINOP,Минора
MINREX,Minrex.
MINSAP,Minsap.
MINT,Мята
MIR,Мир
MLN,MLN.
MM,Мм.
MN,Мн
MNOAL,Mnoal.
MNR,MNR.
MOP,Монтаж
MPS,MPS.
MTT,Mtt.
MUCS,Mucs.
MUDECHI,Mudechi.
Ma.,Масса
Macarena,Макарена
Macario,Macario
Madagascar,Мадагаскар
Madera,Дерево
Madrid,Мадрид
Magallanes,Магеллан
Magda,Магда.
Magdalena,Магдалена
Magnolia,Магнолия
Main,Главный.
Majachkala,Маджачкала
Malabo,Malabo.
Malasia,Малайзия
Malavi,Малави.
Malayo,малайский
Maldivas,Мальдивы
Male,Мужской.
Mali,Мали
Mallorca,Майорка
Malta,солод
Malvina,Мальвина
Malvinas,Мальвинас
Managua,Managua.
Manama,Манама.
Mancha,Пятно
Manila,Манила
Manola,Манола.
Manolete,Маноретный
Manolita,Манолита.
Manolo,Маноло.
Manon,Манан.
Manrique,Манрик.
Manuel,Мануэль
Manuela,Мануэла
Manzanares,Мансанарес
Maputo,Maputo.
Mar,Море
Mar Meridional de la China,Южное море Китая
Mar Oriental de la China,Восточное море Китая
Maravilla,Замечательно
Marcela,Marcela
Marcelina,Марселина.
Marcelino,Марселино.
Marcelo,Marcelo.
Marcial,Боевой
Marco,Рамки
Marcos,кадры
Marga,Суглименты
Margarita,цветок ромашка
Mari,Mari
Mari Carmen,Мари Кармен
Mari Lola,Mari Lola
Mariana,Мариана.
Mariano,Мариан.
Maricastaña,Марикастанья
Maricruz,Maricruz.
Marieta,Marieta.
Mariis,Mariis
Mariluz,Mariluz.
Marina,морской
Marino,морской
Mario,Марио
Maris,Марис
Marisa,Мариса
Marisela,Марисела
Marisol,Маризол
Maritere,Маритель.
Marlene,Марлен.
Marruecos,Марокко
Marsella,Марсель
Marta,Марта
Martina,Мартина
Martinica,Мартиника
Martín,Мартин
Maruja,Maruja.
María,Мэри
María Dolores,Мария Долорес
María Fernanda,Мария Фернанда
María Isabel,Мария Изабель
María Jesús,Мария Иисус
María Luisa,Мария Луиза
María Rosa,Мэри Роуз
María de la Luz,Мэри Света
María de la O,María de la o
María de la Soledad,María de la Soledad
María de las Mercedes,María de Las Mercedes
Marín,Marín.
Mascate,Тайный
Maseru,Масеру.
Mateo,Мэтью
Matilde,Матильда.
Matías,Matías
Maura,Maura
Mauricio,Mauricio
Mauritania,Мавритания
Mauro,Мауро.
Mavorte,Маватор.
Max,Максимум.
Maximiliano,Максимилиано
Maximino,Максимино.
Maya,майя
Mazagatos,Мазагаты
Maño,Рука
Mbabane,Мбабан.
Md.,Домик
Me V,Меня В.
Meca,MECCA.
Medardo,Медардо.
Medina,Медина
Medio,"Средства, средние"
Mediterráneo,Средиземное море
Megera,Megera
Mein,Mein.
Melanesia,Меланезия
Melania,Мелания
Melanio,Меланиум.
Melba,Мельба.
Melbourne,Мельбурн.
Melchor,Мельхор.
Melcíades,Мельчадос.
Melecio,Мелеция
Melibea,Мелимеа
Melibeo,Meliberyo.
Melisenda,Melisenda.
Melquíades,Мельквиадес
Menandro,Менандр
Menga,Менга.
Meno,Я нет.
Menor,Незначительный
Menorca,Minorca
Merced,Милосердие
Mercedes,Мерседес
Merche,Мерше
Meridional,Южный
Mesina,Мессина
Mesías,Мессия
Micaela,Микала
Micaelina,Микалина
Michigan,Мичиган
Micronesia,Микронезия
Miguel,Miguel
Miguela,Мигела.
Milagros,чудес
Milicho,Milicho
Milu,Милу.
Milán,Милан
Mina,Мой
Mindanao,Mindanao.
Mingo,Минго.
Minh,Мин
Minsk,Минск.
Miranda,Миранда.
Miriam,Мириам
Mississippi,Миссисипи
Mississipí,Миссисипи
Missouri,Миссури.
Misterios,Таинства
Mo. V.,Мо. V.
Moctezuma,Моктизума.
Modesta,Скромный
Modesto,Скромный
Mogadiscio,Могадисцио
Mogadixo,Mogadixo.
Moisés,Моисей
Mol,Моль
Mol. v.,Крот потрясающий
Moldavia,Молдова
Molucas,Молукчаз
Monaco,Монако
Moncho,Мончо.
Mongolia,Монголия
Monrovia,Монровия
Montblanc,Montblanc.
Monte,Гора
Monte Blanco,белая гора
Montevideo,Монтевидео
Montreal,Монреаль
Montserrat,Монтсеррат
Mordovia,Мордовия
Morduinos,Мордуины.
Morena,Брюнетка
Moresby,Moresby.
Moscou,Moscou
Moscova,Москва.
Moscú,Москва
Mozambique,Мозамбик
Mtar,Мартар.
Munich,Мюнхен
Murcia,Мурсия
Murmansk,Мурманск.
My,МОЙ.
Málaga,Малага
Mármara,Марамара.
Máxima,Максимум
Máximo,Максимум
Méjico,Мексика
México,Мексика
Mónica,Моника
N,Не
N$,N $
N'djamena,N'djamena.
NAFINSA,Нафинса
NAMUCAR,Namucar.
NN.UU.,ООН
NO AL,Не
NO-DO,УЗЕЛ
NOAL,Не
NORCECA,Norceca.
Nacho,Начо
Nadal,Надаль.
Nagasaki,Нагасаки.
Nairobi,Найроби
Najichevan,Наджичеван
Nal.,Нал
Nalchik,Нальчик
Nam,Нами.
Namibia,Намибия
Narciso,Нафик
Nassau,Нассау
Natalia,Натали
Natalicio,Наталицио.
Natalio,Наталио.
Nati,Нати.
Natividad,Рождество
Natán,Натан.
Nauru,Науру.
Navarra,Наварра
Neftalí,Нефтали
Negro,Чернить
Nelly,Нелли.
Nemesia,Немезия
Nemesio,Немезиан
Nepal,Непал
Netzahualcóyotl,Netzahualcóyotl.
Neva,Нева.
Nevada,Невада
Ngdo.,NGDO.
Niamey,Ниамеи
Nicandro,Никандро.
Nicanor,Никанир.
Nicaragua,Никарагуа
Nicolao,Николао.
Nicolás,Николас
Nicosia,Никосия.
Niemen,Ничтожным
Nieves,Снег
Nigeria,Нигерия
Niza,Ницца
Niágara,Ниагара
Niío,Нииио.
Nora,Нора.
Norma,Правило
Normán,Норман
Norte,Север
Norteamérica,Северная Америка
Noruega,Норвегия
Novo,Ново.
Novorossiisk,Новороссийск.
Novosibirsk,Новосибирск
Noé,Ной
Nte.,Недействующий
Nuakchott,Нуакшот.
Nubia,Нубия.
Nueva,Новый
Nueva York,Нью-Йорк
Nueva Zelanda,Новая Зеландия
Nueva Zelandia,Новая Зеландия
Nueva Zembla,Новая Зембла.
Nuevas,Новые
Nuevas Hébridas,Новые Гебриды
Nukualofa,Нукуалофа.
Num.,Оказывать
Nuremberg,Нюрнберг.
Nuri,Нури.
Nuria,Nuria.
Nápoles,Неаполь
Néstor,Néstor.
Níger,Нигер
Nóvgorod,Новгород
Núm.,Оставлять
O,ЛИБО
OA,ОА.
OCLAE,Oclae.
ODECA,Ocas.
ODECABE,Odecabe
ODEPA,Odepa
ODUCC,Uduc.
OEA,ОАГ.
OF/MET/p,/ MET / P
OIEA,МАГАТЭ.
OIP,Оплот
OIRT,Уход
OIT,Ilo.
OLADE,Волна
OLAS,Волны
OLP,Плаката
OMS,ВОЗ
ONU,ООН
ONUDI,ЮНИДО.
OP,Опрашиваться
OPEP,Опекан
ORIT,Orit.
OSPAAAL,Ospaaal
OTAN,НАТО
OTASO,ОТО.
OTC,ОТЦ.
OUA,Овся
OVNI,НЛО
Obdulia,Обдулия.
Obdulio,Обдулио
Obi,Obi.
Occidental,Западный
Oceanía,Океания
Ocotlana,Ocotlana.
Ocotlán,Ocotlán.
Océano,Океан
Océano Atlántico,Атлантический океан
Océano Glacial Ártico,Ледниковый арктический океан
Océano Pacífico,Тихий океан
Océano Índico,Индийский океан
Oder,Одер
Odesa,Одесса
Odón,Один
Ofelia,Офелия.
Ojotsk,Оджотск.
Oka,Ока
Okhotsk,Охотск.
Olaja,Olaja.
Olalla,Olla.
Olaya,Олая.
Olea,ОЛЕА.
Olegario,Олегарио
Olga,Ольга.
Olimpia,Олимпия
